date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,halt
2013-10-21,9.09,9.87,9.61,8.96,481800.25,0.54,5.95,9.61,9.61,9.61,481800.25,481800.25,481800.25,3.52,0
2013-10-22,9.62,9.88,9.33,9.3,468443.03,-0.28,-2.91,9.47,9.47,9.47,475121.64,475121.64,475121.64,3.42,0
2013-10-23,9.3,9.42,8.66,8.5,440708.16,-0.67,-7.18,9.2,9.2,9.2,463650.48,463650.48,463650.48,3.22,0
2013-10-24,8.68,9.02,8.74,8.6,308022.91,0.08,0.92,9.085,9.085,9.085,424743.59,424743.59,424743.59,2.25,0
2013-10-25,8.74,8.85,8.55,8.22,300423.81,-0.19,-2.17,8.978,8.978,8.978,399879.63,399879.63,399879.63,2.2,0
2013-10-28,8.64,9.18,8.94,8.57,306812.03,0.39,4.56,8.844,8.972,8.972,364881.99,384368.37,384368.37,2.24,0
2013-10-29,8.94,9.03,8.67,8.2,278081.78,-0.27,-3.02,8.712,8.929,8.929,326809.74,369184.57,369184.57,2.03,0
2013-10-30,8.68,8.89,8.8,8.6,204428.48,0.13,1.5,8.74,8.913,8.913,279553.8,348590.06,348590.06,1.49,0
2013-10-31,8.89,8.95,8.78,8.52,241429.89,-0.02,-0.23,8.748,8.898,8.898,266235.2,336683.37,336683.37,1.76,0
2013-11-01,8.78,9.15,8.77,8.62,225262.73,-0.01,-0.11,8.792,8.885,8.885,251202.98,325541.31,325541.31,1.65,0
2013-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2013-11-05,9.14,9.14,8.66,8.2,431869.38,-0.11,-1.25,8.736,8.79,8.865,276214.45,320548.22,335207.5,3.16,0
2013-11-06,8.58,8.86,8.48,8.42,336396.44,-0.18,-2.08,8.698,8.705,8.833,287877.38,307343.56,335306.57,2.46,0
2013-11-07,8.38,8.53,8.24,8.23,165627.86,-0.24,-2.83,8.586,8.663,8.787,280117.26,279835.53,322254.37,1.21,0
2013-11-08,8.24,8.41,8.31,8.12,124168.09,0.07,0.85,8.492,8.62,8.753,256664.9,261450.05,308105.35,0.91,0
2013-11-11,8.37,8.43,8.21,7.81,260304.48,-0.1,-1.2,8.38,8.586,8.717,263673.25,257438.12,304918.62,1.9,0
2013-11-12,8.1,8.1,7.86,7.77,400236.91,-0.35,-4.26,8.22,8.478,8.663,257346.76,266780.6,310876.01,2.93,0
2013-11-13,7.85,7.97,7.65,7.53,379020.91,-0.21,-2.67,8.054,8.376,8.604,265871.65,276874.52,314884.54,2.77,0
2013-11-14,7.65,7.93,7.73,7.53,267713.44,0.08,1.05,7.952,8.269,8.555,286288.77,283203.01,312263.92,1.96,0
2013-11-15,7.67,8.07,7.86,7.67,348257.59,0.13,1.68,7.862,8.177,8.518,331106.67,293885.78,314158.32,2.55,0
2013-11-18,8.02,8.08,8.04,7.86,363577.12,0.18,2.29,7.828,8.104,8.495,351761.19,307717.22,316629.26,2.66,0
2013-11-19,7.97,8.1,8.02,7.95,256565.06,-0.02,-0.25,7.86,8.04,8.415,323026.82,290186.79,305367.51,1.88,0
